film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
Vice,2018,2018,132,7.2,132014,27048415-ff2e-427e-a4de-5d2898a0812d
Parasite,2019,2019,132,8.6,651517,db1a7b9b-b141-4816-a78a-1ba660b98dba
1917,2019,2019,119,8.3,485648,e150fdb8-b54e-4411-9adf-ab4d2e3bcab0
Ford v Ferrari,2019,2019,152,8.1,331665,054dfed2-ce14-4c17-9bf2-fb228eaa78a3
The Irishman,2019,2019,209,7.8,349303,cf8fb1fa-1a2b-48bd-a241-c7e9d487c09d
Jojo Rabbit,2019,2019,108,7.9,335856,111025ab-00c2-490a-8921-f298fe1a6006
Joker,2019,2019,122,8.4,1056051,9988cdef-854b-4e3d-8dc4-19e8e8717b9b
Little Women,2019,2019,135,7.8,163410,6207f4ff-c6a8-4922-b48d-71b03a01bc96
Marriage Story,2019,2019,137,7.9,270304,4dfbadb9-b7f9-4c24-bbd8-5d55dce2c7c6
Once Upon a Time in Hollywood,2019,2019,161,7.6,628233,80060b63-3c4c-42c3-ab4f-4efee21776bd
Nomadland,2020,2020,107,7.4,123041,f04508ab-e957-49aa-908e-c1286123a493
The Father,2020,2020,97,8.3,89693,73e858b2-7b6e-48b4-80d6-960a992961f5
Judas and the Black Messiah,2020,2021,126,7.5,58996,cf55544c-fcaa-4b26-9773-52be27359d6f
Mank,2020,2020,131,6.9,65380,47d4ae4f-e782-4cd9-9508-4a07302b1c1a
Minari,2020,2020,115,7.5,57976,7262b3a8-214d-4205-985c-70e0860f3236
Promising Young Woman,2020,2020,113,7.5,122269,d64c669b-7a73-496a-bddb-19cb09264371
Sound of Metal,2020,2019,120,7.8,102807,647357e9-c067-46bd-aaeb-24d4344ec124
The Trial of the Chicago 7,2020,2020,129,7.8,156283,cecbca48-f19c-43f4-81d2-da130facda95
