film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
Four Daughters,1938,1938,90,6.9,1881,bf7bd76e-f5f7-4a5a-a24e-6ce226a605e9
Grand Illusion,1938,1937,113,8.1,35191,121b4de3-2e42-45eb-a8cc-f4496df79d8a
Jezebel,1938,1938,104,7.5,12874,70ed2948-fca0-42ab-8421-51bc760a62d4
Pygmalion,1938,1938,89,7.8,8321,31a7d601-261c-478d-969c-5f64d33d531d
Test Pilot,1938,1938,119,6.9,2323,ce4b4264-affe-4e48-9d0b-49b6532449b2
Gone with the Wind,1939,1939,238,8.1,300592,bcad3809-e6ad-471a-8e05-1035efaaaaf4
Dark Victory,1939,1939,104,7.5,10648,ae377884-4d60-47f5-893a-1d2577eb6405
Goodbye Mr. Chips,1939,1939,114,7.9,10164,72360bec-f930-4772-beac-21bee3e92055
Love Affair,1939,1939,88,7.3,4857,c04357fe-39cc-414f-b871-94be98bc38ed
Mr. Smith Goes to Washington,1939,1939,129,8.1,110984,38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
Ninotchka,1939,1939,110,7.9,19988,62d27610-e080-4569-9260-c7883e13adbc
Of Mice and Men,1939,1939,106,7.9,5813,45488a28-fbf5-4264-944a-d0daa7030486
Stagecoach,1939,1939,96,7.9,45997,48e19755-7fc6-48d3-af96-7024e9f688ef
The Wizard of Oz,1939,1939,102,8.0,378893,736cefc8-1a8f-4249-943d-7dce78308ddf
Wuthering Heights,1939,1939,104,7.6,17314,961860de-899b-4c9a-85ba-d5fb0359cbfb
Rebecca,1940,1940,130,8.1,130546,e39af7f6-07a0-44e2-ad07-3924634c0aea
All This and Heaven Too,1940,1940,141,7.5,4728,83619bb1-3c1d-4e3b-bf20-98f9dca469f3
Foreign Correspondent,1940,1940,120,7.5,19657,d0f8a19e-333c-4dde-aedc-5a15d1df26e0
The Grapes of Wrath,1940,1940,129,8.1,89303,1709969c-4b54-4c2b-a3ef-384c9a800499
The Great Dictator,1940,1940,125,8.4,212446,0abfd0f9-e6e1-4472-8b47-c36c4d34b76e
Kitty Foyle,1940,1940,108,6.9,3495,31371633-b7be-4548-a770-c594d52adc1b
The Letter,1940,1940,95,7.6,12503,a70ff35f-ffc2-4081-8af5-e21d50f21adb
The Long Voyage Home,1940,1940,105,7.0,4139,a7c8d95f-898d-40c0-9880-be1174375e08
Our Town,1940,1940,90,6.6,2525,094d9387-875a-4973-b6e4-fed1231ae253
The Philadelphia Story,1940,1940,112,7.9,66044,c75809c1-8391-4a67-924b-4a5dfcfdaef0
How Green Was My Valley,1941,1941,118,7.7,22753,86576fae-02a5-4f78-afe5-908908310def
Blossoms in the Dust,1941,1941,99,6.9,1919,75142b0a-bc65-40aa-82b6-716395a2946d
Citizen Kane,1941,1941,119,8.3,420959,765e5aea-e5af-4695-9be2-f3ef765b8012
Here Comes Mr. Jordan,1941,1941,94,7.6,6154,0da3472b-30f2-499d-9418-6af8d76d2028
Hold Back the Dawn,1941,1941,116,7.4,2247,0c375c45-09a9-464e-bc4e-15a1df41ba11
The Little Foxes,1941,1941,116,8.0,11254,4fd7b78f-8984-4220-a075-b30022fde49f
The Maltese Falcon,1941,1941,100,8.0,152988,86d1ae85-1bda-4459-912d-d21a430496b9
One Foot in Heaven,1941,1941,108,6.8,1213,ea25fe87-1c55-4e28-bd3f-4bef5da7419e
Sergeant York,1941,1941,134,7.7,17415,4c463067-6325-43eb-8f11-e17695722ca9
Suspicion,1941,1941,99,7.4,36081,d7422da7-0391-4b9e-a1e6-99a169b7d9fe
Mrs. Miniver,1942,1942,134,7.6,16879,697603ab-2be4-4a8c-88be-b96bdfe299cf
49th Parallel,1942,1941,123,7.3,6333,6f05b0c0-cc9e-4f2f-b208-0aec3b17c727
Kings Row,1942,1942,127,7.5,4285,c19bbf1c-15de-4eba-9ae4-c491063a83fe
The Magnificent Ambersons,1942,1942,88,7.7,23662,36febb3c-b95a-4830-a4a4-8e2ec057cbd2
The Pied Piper,1942,1942,87,7.1,565,91e29b8b-715b-4755-a0f1-ee5098a0cdf3
The Pride of the Yankees,1942,1942,128,7.7,10459,13aebc37-5ad5-45fc-888f-8acedb312621
Random Harvest,1942,1942,126,8.0,7331,9a4e6934-a118-4962-9a79-0bf4950f1b65
The Talk of the Town,1942,1942,118,7.5,7884,d960aa81-38e9-466c-8b15-96ba859fcc80
Wake Island,1942,1942,88,6.8,1924,c7d20743-838e-46e9-bed1-449681a16609
Yankee Doodle Dandy,1942,1942,126,7.7,14872,06f78a82-6916-485b-9753-a1ba18a4a938
Casablanca,1943,1942,102,8.5,541023,5450540a-1dec-4572-8752-75c5ae55cf7d
For Whom the Bell Tolls,1943,1943,170,6.9,8880,f8981628-2933-42ec-a21b-e9c31164979b
